Var2,category,rating_incl,rating_excl,rating_unknown,incl_yn,excl_yn
Duration of the light intervention (in min or h),Protocol-level aspects,0.9846153846153847,0.015384615384615385,0,y,n
"Types of light sources (display, overhead illumination, ...)",Source-level characteristics,0.9846153846153847,0,0,y,n
Description of experimental setting,Experimental setting-level,0.984375,0.015625,0,y,n
Description of how measurements were taken,Measurement-level characteristics,0.984375,0,0,y,n
Location of measurements,Measurement-level characteristics,0.9692307692307693,0.015384615384615385,0.015384615384615385,y,n
Temporal pattern,Temporal characteristics,0.9692307692307693,0.03076923076923077,0.03076923076923077,y,n
Plane of measurements,Measurement-level characteristics,0.9692307692307692,0,0,y,n
Timeline of laboratory experiment,Protocol-level aspects,0.9692307692307692,0.015384615384615385,0,y,n
Timing of light intervention (in clock time),Protocol-level aspects,0.9692307692307692,0.015384615384615385,0,y,n
Location of stimulus,Spatial characteristics,0.9538461538461538,0.015384615384615385,0,y,n
Illuminance (in lux),Photometric quantities,0.9384615384615385,0.03076923076923077,0,y,n
Viewing distance,Spatial characteristics,0.9384615384615385,0.015384615384615385,0,y,n
Spectral irradiance distribution (in W/m2/nm),Spectral characteristics,0.9384615384615385,0.046153846153846156,0.015384615384615385,y,n
Overall duration of the laboratory experiment,Protocol-level aspects,0.9230769230769231,0.015384615384615385,0,y,n
Viewpoint of measurements,Measurement-level characteristics,0.875,0.0625,0.046875,y,n
Control of prior (before entering the laboratory) light exposure,Protocol-level aspects,0.875,0.03125,0.015625,y,n
Manufacturer/brand,Instrument-level characteristics,0.8615384615384616,0.046153846153846156,0,y,n
Relative size of stimulus (e.g. angular extent in degrees),Spatial characteristics,0.8307692307692307,0.046153846153846156,0.015384615384615385,y,n
"Waveform (e.g. square wave, sine wave)",Temporal characteristics,0.8,0.13846153846153847,0.09230769230769231,y,n
Flicker frequency,Temporal characteristics,0.8,0.13846153846153847,0.1076923076923077,y,n
Inclusion of dim light exposure prior to intervention,Protocol-level aspects,0.7846153846153847,0.046153846153846156,0.015384615384615385,y,n
Calibration status,Instrument-level characteristics,0.78125,0.046875,0.015625,y,n
melanopic irradiance,CIE S026 melanopic quantities,0.7692307692307693,0.13846153846153847,0.09230769230769231,y,n
Make,Instrument-level characteristics,0.765625,0.09375,0.015625,y,n
melanopic equivalent daylight (D65) illuminance (melanopic EDI),CIE S026 melanopic quantities,0.7384615384615385,0.2153846153846154,0.18461538461538463,n,n
α-opic irradiance,CIE S026 quantities,0.7384615384615385,0.16923076923076924,0.16923076923076924,n,n
Make of light sources,Source-level characteristics,0.7384615384615385,0.16923076923076924,0.03076923076923077,n,n
Absolute size of stimulus (e.g. in mm),Spatial characteristics,0.7384615384615385,0.07692307692307693,0,n,n
Manufacturer of light sources,Source-level characteristics,0.7076923076923077,0.15384615384615385,0,n,n
Spectral power distribution (normalised),Spectral characteristics,0.7076923076923077,0.16923076923076924,0.1076923076923077,n,n
α-opic equivalent daylight (D65) illuminance (α-opic EDI),CIE S026 quantities,0.6615384615384616,0.2,0.2,n,n
Room geometry (including size),Experimental setting-level,0.65625,0.109375,0,n,n
correlated colour temperature (CCT),Colour quantities,0.6461538461538462,0.16923076923076924,0.12307692307692308,n,n
Natural-language descriptors of spatial configuration,Spatial characteristics,0.6461538461538462,0.26153846153846155,0.2,n,n
Spectral radiance distribution (in W/sr/m2/nm),Spectral characteristics,0.6461538461538462,0.15384615384615385,0.07692307692307693,n,n
Drawing of experimental setting,Experimental setting-level,0.625,0.078125,0,n,n
Peak wavelength (in nm),Spectral characteristics,0.6190476190476191,0.15873015873015872,0,n,n
Luminance (in cd/m2),Photometric quantities,0.6153846153846154,0.13846153846153847,0.06153846153846154,n,n
"Manufacturer-supplied characteristics (CCT, spectrum, ...)",Source-level characteristics,0.6153846153846154,0.1076923076923077,0,n,n
Calibration year,Instrument-level characteristics,0.6031746031746031,0.09523809523809523,0.015873015873015872,n,n
Photograph of experimental setting,Experimental setting-level,0.5538461538461539,0.1076923076923077,0,n,n
melanopic radiance,CIE S026 melanopic quantities,0.5076923076923077,0.2,0.13846153846153847,n,n
melanopic equivalent daylight (D65) luminance (melanopic EDL),CIE S026 melanopic quantities,0.49230769230769234,0.26153846153846155,0.2153846153846154,n,n
